,id,uid,name,lat,lng,address,postal_code,city_id,city_name,city_insee,city_tier,phone,email,since,created_at,network_name,conservation_care,funeral_organization,management_and_use_of_funeral_chambers,provide_hearses_and_mourning_cars,supply_covers_coffins_interior_exterior_accessories_urns,supply_personnel_items_services,transport_body_before_after_burial,habilitation_issued_at,habilitation_expired_at,habilitation_number,cinerary_monuments,deceased_transport,establishment_pictures,establishment_video,funeral_accessories_and_urns,marble_services,monuments_maintenance,mpf_url,online_administrative_procedures,online_death_notice,online_quote_request,permanence_days,siret_number,religion,undertaker_type,status
19,38457,20c1ccbf2edbf921,Pompes Funèbres et Marbrerie de l'Ain,46.2622783,4.8837037,20 rue des Roselets,01290,582,Pont-de-Veyle,01306,2,0385239034,Agence-PontDeVeyle-1@DIGNITE.FR,,2020-10-23 10:11:53.184345,Dignité Funéraire,0,1,1,1,1,1,1,,,,-1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/pont-de-veyle/pompes-funebres-et-marbrerie-de-l-ain,0,1,1,1,,-1,0,0
20,38458,8d52bbe50a6ea0d2,Pompes Funèbres Tonin-Coiffet,45.7601172,5.6865842,3 place des Terreaux,01300,492,Belley,01034,2,0479811109,mcoiffet@aliceadsl.fr,,2020-10-23 10:11:53.310453,,0,1,1,1,1,1,1,,,,0,1,1,0,1,0,-1,https://meilleures-pompes-funebres.com/01/belley/les-pompes-funebres-tonin-coiffet,0,1,0,1,545 820 011 00017,-1,0,0
21,38459,4b1142352a55e86f,Marbrerie De Villa Aldo Et Fils,45.6921619,5.5935055,"128, route du champ",01300,318,Saint-Benoît,01338,2,0474397041,,,2020-10-23 10:11:53.438545,,0,0,0,0,1,1,0,,,,0,0,1,1,1,1,1,,0,0,0,-1,353 519 937 00018,-1,0,0
22,38460,a898101a040219d0,Pompes Funèbres BOUVIER - Le Choix Funéraire,45.745653,5.708776,ZAC de Coron- La Rivoire,01300,422,Virignin,01454,2,0479879579,,,2020-10-23 10:11:53.548171,Le Choix Funéraire,0,1,1,1,1,1,1,,,,1,1,-1,-1,1,0,-1,,0,1,1,1,500 104 815 00039,-1,0,0
23,38461,cbce095afa8b157f,Pompes Funèbres LIMAT,45.9936988,4.9076207,338 Route du Gouverneur,01330,409,Ambérieux-en-Dombes,01005,2,0474008283,,,2020-10-23 10:11:53.652501,,0,1,1,1,1,1,1,,,,-1,1,-1,-1,1,-1,-1,https://meilleures-pompes-funebres.com/01/amberieux-en-dombes/pompes-funebres-limat,-1,-1,-1,1,316 711 563 00015,-1,0,0
24,38462,790d9daf9419be1b,Pompes Funèbres BOUVET,46.0052332,5.0284568,219 rue de Bresse,01330,330,Villars-les-Dombes,01443,2,0474980100,contact.villars@pfbouvet.com,,2020-10-23 10:11:53.763172,FUNÉPLUS,0,1,1,1,1,1,1,,,20-01-0050,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/villars-les-dombes/pompes-funebres-bouvet,0,1,1,1,384 089 124 00018,-1,0,0
25,38463,0af5beaeb4d2c00d,Pompes Funèbres METRAS,46.0059169,5.035037,289 rue Pierre Poivre,01330,330,Villars-les-Dombes,01443,2,0474981797,,,2020-10-23 10:11:53.891327,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,https://meilleures-pompes-funebres.com/01/villars-les-dombes/pompes-funebres-metras,0,0,0,1,414 551 713 00012,-1,0,0
26,38464,3c8119ae0693cdba,Pompes Funèbres COMTET,46.3422279,5.1268114,29 route de Châlon,01340,261,Montrevel-en-Bresse,01266,2,0474320917,Agence-MontrevelEnBresse-1@DIGNITE.FR,,2020-10-23 10:11:53.995947,Dignité Funéraire,1,1,1,1,1,1,1,,,,1,1,0,0,1,1,1,,0,0,1,1,,-1,0,0
27,38465,97afb6e554d3eda4,Pompes Funèbres Régionales TONIN-COIFFET,45.8453124,5.7801169,56 Rue de la Gare,01350,219,Culoz,01138,2,0479870384,,,2020-10-23 10:11:54.114412,,0,1,1,1,1,1,1,,,,1,1,1,0,1,0,-1,https://meilleures-pompes-funebres.com/01/culoz/pompes-funebres-tonin-coiffet,-1,1,0,1,,-1,0,0
28,38466,4a11e7597d38dd42,Pompes Funèbres BERTRAND - Le Choix Funéraire,46.2877157,5.292032,125 rue de l’église,01370,225,Saint-Étienne-du-Bois,01350,2,0437621247,,,2020-10-23 10:11:54.228158,Le Choix Funéraire,1,1,1,1,1,1,1,,,,-1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/saint-etienne-du-bois/le-choix-funeraire-pompes-funebres-marbrerie-bertrand-concessionnaire,-1,0,1,1,,-1,0,0
29,38467,92e531482378b002,Espace Funéraire et Marbrerie CARRARA,46.287881,4.910191,"21, Rue des Essarts",01380,388,Saint-André-de-Bâgé,01332,2,0385301213,direction@espace-carrara.com,,2020-10-23 10:11:54.333215,,1,1,1,1,1,1,1,,,,-1,1,1,0,1,1,1,,1,1,0,1,332 085 943 00063,-1,0,0
30,38468,05692fd013fe601f,Pompes Funèbres METRAS,45.9309838,4.9547522,02 impasse de la Vernangère,01390,254,Saint-André-de-Corcy,01333,2,0472260217,,,2020-10-23 10:11:54.454360,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,https://meilleures-pompes-funebres.com/01/saint-andre-de-corcy/rey,-1,0,0,1,414 551 713 00046,-1,0,0
31,38469,d115afafa6c7419f,Pompes Funèbres METRAS,46.114005,4.9441655,Parc d'activités,01400,436,Châtillon-sur-Chalaronne,01093,2,0474551717,,,2020-10-23 10:11:54.577232,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,-1,0,0,1,,-1,0,0
32,38470,40ed8c13ec709b17,Pompes Funèbres et Marbrerie Comtet,46.2244749,5.2055115,"1269, route de Paris",01440,1,Viriat,01451,2,0474239090,Agence-Viriat-1@DIGNITE.FR,,2020-10-23 10:11:54.683292,Dignité Funéraire,1,1,1,1,1,1,1,,,,1,1,0,0,1,1,1,,0,1,1,1,,-1,0,0
33,38471,7e2e74239728dd2b,ULTIL MARBRE,45.992639,4.7780766,impasse de la petite prairie,01480,380,Frans,01166,2,0661721030,ultilmarbre01@gmailcom,,2020-10-23 10:11:54.802173,,0,0,0,0,0,1,0,,,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2,1
34,38472,69057c74c3da9228,Pompes Funèbres Générales,45.9711007,5.3515696,5 rue du Repos,01500,390,Ambérieu-en-Bugey,01004,2,0474380566,,,2020-10-23 10:11:54.920992,PFG Services Funéraires,0,1,1,1,1,1,1,,,,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/amberieu-en-bugey/pompes-funebres-generales-pfg,0,1,1,1,542 076 799 11848,-1,0,0
35,38473,9bb95583e4b41c5c,La Maison des Obsèques Pompes Funèbres Lefèvre-Goyon & associés,46.214955,5.0134481,691 route de Namary,01540,520,Vonnas,01457,2,0474500469,vonnas@lamaisondesobseques.fr,,2020-10-23 10:11:55.034097,La Maison des obsèques,0,1,1,1,1,1,1,,,,1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/vonnas/la-maison-des-obseques-ets-goyon-vonnas,1,1,1,1,,-1,0,0
36,38474,2871f5b320a940c1,Pompes Funèbres Générales,45.9409766,4.7729879,9 rue du Port,01600,561,Trévoux,01427,2,0474001705,Agence-Trevoux-1@PFG.FR,,2020-10-23 10:11:55.174284,PFG Services Funéraires,0,1,0,1,1,1,1,,,,0,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/trevoux/pompes-funebres-generales-pfg,1,1,1,1,542 076 799 09511,-1,0,0
37,38475,9f8b8d2f18a8d060,Pompes Funèbres BOUVET,45.9404782,4.7778837,1 rue du Bois,01600,561,Trévoux,01427,2,0474001515,contact.trevoux@pfbouvet.com,,2020-10-23 10:11:55.282077,FUNÉPLUS,1,1,0,1,1,1,1,,,20-01-0050,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/trevoux/pompes-funebres-bouvet,1,1,1,1,384 089 124 00059,-1,0,0
38,38476,dd3d0c549e625e7a,Pompes Funèbres BOUVET,45.9466565,4.7542356,508 Allée des Filièristes,01600,561,Trévoux,01427,2,0474081639,cfbouvet@orangefr,,2020-10-23 10:11:55.402511,,1,1,1,1,1,1,1,,,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2,2
39,38477,ab124e7544d23009,COLLET Sébastien,46.244985,6.026832,"12, rue des Hautains",01630,237,Saint-Genis-Pouilly,01354,3,0671465111,colletsebastien@hotmailcom,,2020-10-23 10:11:55.530152,,0,1,1,1,1,1,1,,,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,1,0
40,38478,3232255fc1187ed3,Pompes Funèbres Marbrerie ALLARDET,46.045196,5.468438,Chatillon de Cornelle,01640,288,Boyeux-Saint-Jérôme,01056,2,0474368801,pompes.funebres.allardet@gmail.com,,2020-10-23 10:11:55.646179,,0,1,1,1,1,1,1,,,,1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/boyeux-saint-jerome/pompes-funebres-dejon-marbrerie-allardet,0,0,1,1,517 719 076 00013,-1,0,0
41,38479,4d92334017c96e69,Marbrerie GROS-DERUDET,45.8285021,4.9640692,"500, rue de Saint Martin",01700,323,Miribel,01249,2,0478551236,,,2020-10-23 10:11:55.745085,,0,1,0,0,1,1,0,,,,-1,-1,-1,-1,1,1,1,,-1,-1,-1,-1,339 960 064 00022,-1,0,0
42,38480,a9bbcc666fa7a54f,Pompes Funèbres PINAULT,45.824809,4.955069,"1174, Grande Rue",01700,323,Miribel,01249,2,0478551831,miribel@pfpinault.com,,2020-10-23 10:11:55.874778,,1,1,1,1,1,1,1,,,20.01.0065,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/miribel/pompes-funebres-pinault,0,0,1,1,337 746 465 00042,-1,0,0
43,38481,19fe1fcd313edd6d,ART'BURY,45.9023447,5.1905071,26 rue de Lyon,01800,542,Meximieux,01244,2,0474370622,,,2020-10-23 10:11:55.975935,,1,1,0,1,1,1,1,,,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2,4
44,38482,ae0342d798bbb749,Pompes Funèbres Marbrerie de la Côtière,45.9024023,5.1982231,14 rue des Verchères,01800,542,Meximieux,01244,2,0474610525,mpfcotiere@orange.fr,,2020-10-23 10:11:56.096228,,1,1,1,1,1,1,0,,,,0,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/meximieux/pompes-funebres-de-la-cotiere,0,0,0,-1,420 541 310 00025,-1,0,0
45,38483,0bc4d83f68614bc3,Marbrerie François GIVRE,46.169943,5.1942278,521 Allée du Thioudet – ZAC de Monternoz,01960,256,Péronnas,01289,2,0474210946,fgivre@wanadoo.fr,,2020-10-23 10:11:56.266017,,0,1,0,0,1,1,0,,,,0,0,1,0,1,1,1,,0,0,0,-1,,-1,0,0
46,38484,6d972e8bcf921deb,Pompes funèbres les Fils de Robert Sautier,49.5739339,3.6388407,43 bis rue de Manoise,02000,758,Laon,02408,2,0323790818,,,2020-10-23 10:11:56.383467,,0,1,1,1,1,1,1,2012-03-29,2022-05-18,2010-02-33,-1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/02/laon/pompes-funebres-fils-de-robert-sautier,-1,1,1,1,337 609 747 00015,-1,0,0
47,38485,e51bd09d7325713a,Pompes Funèbres et Marbrerie Becret,49.5703675,3.6273851,6 à 10 Boulevard Gras Brancourt,02000,758,Laon,02408,2,0323234830,Agence-Laon-1@DIGNITE.FR,,2020-10-23 10:11:56.488134,Dignité Funéraire,0,1,1,1,1,1,1,2015-07-17,2021-07-16,2015-02-163,-1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/02/laon/pompes-funebres-becret,-1,1,1,1,542 076 799 14925,-1,0,0
48,38486,9ba4b9c4530eb219,Pompes Funèbres Générales,49.5741726,3.6436608,66 rue de Manoise,02000,758,Laon,02408,2,0323230212,Agence-Laon-2@PFG.FR,,2020-10-23 10:11:56.615140,PFG Services Funéraires,0,1,0,1,1,1,1,2016-02-01,2022-01-31,2016-02-174,-1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/02/laon/pompes-funebres-generales-pfg,-1,1,1,1,542 076 799 01617,-1,0,0
49,38487,763a949c66631238,Pompes Funèbres VIGNON - Le Choix Funéraire,49.8401173,3.3008422,12 place Carnot,02100,1318,Saint-Quentin,02691,1,0323086444,pompes-funebres-vignon@wanadoo.fr,,2020-10-23 10:11:56.733204,Le Choix Funéraire,0,1,1,1,1,1,1,2014-05-02,2020-05-01,02/02/2014,-1,1,1,1,1,1,1,https://meilleures-pompes-funebres.com/02/saint-quentin/pompes-funebres-associes-vignon,-1,1,1,-1,349 244 640 00018,-1,0,0
50,38488,4f9a37cd2e0737e5,Pompes Funèbres HURIER JONCOURT -Le Choix Funéraire,49.8572563,3.2897146,110 rue Georges Pompidou,02100,1318,Saint-Quentin,02691,1,0323081607,,,2020-10-23 10:11:56.857306,Le Choix Funéraire,0,1,0,1,1,1,1,2014-05-05,2020-05-04,16/02/2014,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/02/saint-quentin/pompes-funebres-hurier-joncourt,-1,1,1,-1,349 244 640 00034,-1,0,0
51,38489,6220a464933a8134,Pompes Funèbres LANDOUZY,49.8569691,3.2894281,108 rue Georges Pompidou et 6 rue Edmond Rostand,02100,1318,Saint-Quentin,02691,1,0323081683,,,2020-10-23 10:11:56.986036,,0,1,0,1,1,1,1,2018-10-16,2024-10-15,2018.02.17,-1,-1,1,-1,1,1,1,https://meilleures-pompes-funebres.com/02/saint-quentin/art-et-marbrerie-landouzy,-1,-1,-1,1,351 938 683 00015,-1,0,0
52,38490,155a5fc5071393b4,Pompes Funèbres Marbrerie Martine Palet,49.8415456,3.3125155,35 chemin d'Harly,02100,1318,Saint-Quentin,02691,1,0323684725,,,2020-10-23 10:11:57.105281,,0,1,0,1,1,1,1,2018-10-11,2024-10-10,2018-02-29,-1,-1,1,-1,1,1,1,https://meilleures-pompes-funebres.com/02/saint-quentin/pompes-funebres-martine-palet,-1,-1,-1,1,403 439 193 00018,-1,0,0
53,38491,128834c064012085,SARL PL THANATOPRAXIE,49.8357217,3.2972342,19 rue Roland Dorgelès,02100,1318,Saint-Quentin,02691,1,0323653729,,,2020-10-23 10:11:57.229056,,1,0,0,1,0,0,1,2010-07-29,2024-01-17,2010-02-153,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2,8
54,38492,52cb516aec09038a,Pompes Funèbres Générales,49.8464608,3.2867549,35 place de l'hôtel de ville,02100,1318,Saint-Quentin,02691,1,0323623527,Agence-SaintQuentin-1@PFG.FR,,2020-10-23 10:11:57.343126,PFG Services Funéraires,0,1,0,1,1,1,1,2016-02-01,2022-01-31,2016-02-173,-1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/02/saint-quentin/pompes-funebres-generales-pfg,-1,1,1,1,542 076 799 12028,-1,0,0
55,38493,1156dc939ea2b508,Pompes funèbres Richet Massin - Dignité Funéraire,49.8394626,3.2814925,1 Rampe St-Prix (Quai du vieux port),02100,1318,Saint-Quentin,02691,1,0323680827,Agence-SaintQuentin-2@DIGNITE.FR,,2020-10-23 10:11:57.460867,Dignité Funéraire,0,1,1,1,1,1,1,2012-12-03,2018-12-02,2006-02-109,-1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/02/saint-quentin/pompes-funebres-richet-massin,-1,1,1,-1,349 764 795 00051,-1,0,0
56,38494,c7716ced60d34d8c,Pompes funèbres et marbrerie In MEMORIS,49.851067,3.2640772,2 rue Charles Limé ZAC La Vallee,02100,1318,Saint-Quentin,02691,1,0323050501,Agence-SaintQuentin-3@pompes-funebres-in-memoris.fr,,2020-10-23 10:11:57.593165,,1,1,0,1,1,1,1,2012-12-03,2018-12-02,2012-02-111,-1,0,1,0,1,1,1,,-1,1,1,-1,,-1,0,0
57,38495,36dea3b84558e60b,Pompes Funèbres Kreb,49.9852588,3.4595027,"1, rue Olivier Deguise",02110,1384,Bohain-en-Vermandois,02095,2,0323070888,,,2020-10-23 10:11:57.717618,,0,1,1,1,1,1,1,2018-02-26,2024-02-26,2018-02-126,-1,-1,1,-1,1,1,0,https://meilleures-pompes-funebres.com/02/bohain-en-vermandois/pompes-funebres-kreb,1,1,1,1,,-1,0,0
58,38496,de5cb4df3bba2ef3,Pompes Funèbres Et Marbrerie Du Vermandois,49.986519,3.4491721,"76, rue Jean Jaurès",02110,1384,Bohain-en-Vermandois,02095,2,0323071919,,,2020-10-23 10:11:57.840682,,0,1,1,1,1,1,1,2012-11-20,2018-11-19,2012-02-139,1,1,1,-1,1,1,0,https://meilleures-pompes-funebres.com/02/bohain-en-vermandois/pompes-funebres-et-marbrerie-du-vermandois,1,1,1,1,421 333 675 00013,-1,0,0
59,38497,069113b55d2a2a76,Pompes Funèbres Marbrerie ST MEDARD - Le Choix Funéraire,49.8993817,3.6324148,178 rue Saint-Médard,02120,1137,Guise,02361,2,0323610629,,,2020-10-23 10:11:57.972996,Le Choix Funéraire,0,1,1,1,1,1,1,2016-12-21,2022-12-21,2016-02-67,-1,1,1,-1,1,1,0,https://meilleures-pompes-funebres.com/02/guise/pompes-funebres-saint-medard,1,1,1,1,,-1,0,0
60,38498,7e6b14911817d213,Pompes Funèbres Carlier Thierry,49.8236955,3.7030975,2 rue du Général de Gaulle,02120,1047,Sains-Richaumont,02668,2,0323609929,,,2020-10-23 10:11:58.094201,,0,1,0,1,1,1,1,2014-05-23,2020-05-22,2014-02-32,-1,-1,1,-1,1,1,0,https://meilleures-pompes-funebres.com/02/sains-richaumont/pompes-funebres-carlier-thierry,-1,-1,-1,-1,,-1,0,0
61,38499,4e89f41f802c8320,SAS « Pompes funèbres marbrerie Saint-Médard »,49.8993817,3.6324148,178 rue Saint-Médard,02120,1137,Guise,02361,2,0323610629,marbreriestmedard@wanadoofr,,2020-10-23 10:11:58.206189,,1,1,0,1,1,1,1,2018-07-20,2024-07-19,2018-02-197,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2,1
62,38500,2653f5518b0c20fa,Pompes Funèbres KETELE,49.9014162,3.6276221,31 boulevard Péquereau,02120,1137,Guise,02361,2,0323610551,veronique.ketele@orange.fr,,2020-10-23 10:11:58.333330,,0,1,1,1,1,1,1,2016-03-24,2019-01-31,12/02/2013,-1,-1,1,-1,1,1,0,https://meilleures-pompes-funebres.com/02/guise/pompes-funebres-ketele,1,1,1,1,586 680 282 00058,-1,0,0
63,38501,516b30349e025276,M. Chistophe THIEFAINE,49.9067248,3.72841,3 chemin de Proisy,02120,1005,Malzy,02455,2,0617335529,,,2020-10-23 10:11:58.487154,,0,0,0,0,0,0,0,2018-01-09,2019-01-08,2018-02-194,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,1,0
